"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"2/26/10","Tacoma","Washington","urban","ES",2,4,47.2431,-122.4531
"3/9/10","Columbus","Ohio","urban","C",1,1,39.9862,-82.985
"4/29/10","Portsmouth","Virginia","urban","HS",0,0,36.8468,-76.354
"5/18/10","South Gate","California","urban","HS",0,0,33.9448,-118.1926
"8/31/10","Blountville","Tennessee","suburban","HS",1,2,36.533,-82.329
"9/7/10","Detroit","Michigan","urban","HS",0,0,42.3834,-83.1024
"9/8/10","Detroit","Michigan","urban","HS",0,2,42.3834,-83.1024
"9/16/10","Moss Bluff","Louisiana","suburban","MS",1,2,30.3039,-93.2051
"9/21/10","Columbia","South Carolina","urban","HS",0,0,34.0376,-80.9037
"9/28/10","Austin","Texas","urban","C",1,0,30.3004,-97.7522
"10/1/10","Salinas","California","urban","HS",1,0,36.6884,-121.6317
"10/3/10","Elizabeth City","North Carolina","suburban","C",1,2,36.2943,-76.2361
"10/8/10","Carlsbad","California","urban","ES",0,2,33.1247,-117.2837
"10/25/10","Selma","Alabama","suburban","ES",0,0,32.4166,-87.0336
"11/29/10","Marinette","Wisconsin","suburban","HS",1,0,45.087,-87.6328
"12/6/10","Aurora","Colorado","urban","HS",0,1,39.7087,-104.7273
"1/5/11","Omaha","Nebraska","urban","HS",2,2,41.2627,-96.0522
"1/18/11","Los Angeles","California","urban","HS",0,0,34.1139,-118.4068
